xName,size,shape,fill,stroke,strokeWidth,Kd(nM),KMap-name,KMap-type,KMap-source,KMap-setId
RIPK2,50,pentagon,Silver,LightGrey,,,,,,
RIPK1,50,pentagon,Silver,LightGrey,,,,,,
RIOK2,50,pentagon,Silver,LightGrey,,,,,,
RIOK1,50,pentagon,Silver,LightGrey,,,,,,
RET,50,pentagon,Silver,LightGrey,,,,,,
RAF1,50,pentagon,Silver,LightGrey,,,,,,
RSK1_b,50,pentagon,Silver,LightGrey,,,,,,
RSK2_b,50,pentagon,Silver,LightGrey,,,,,,
TGFbR1,50,pentagon,Silver,LightGrey,,,,,,
STLK5,50,pentagon,Silver,LightGrey,,,,,,
TBK1,50,pentagon,Silver,LightGrey,,,,,,
TAO3,50,pentagon,Silver,LightGrey,,,,,,
TAK1,50,pentagon,Silver,LightGrey,,,,,,
SgK495,50,pentagon,Silver,LightGrey,,,,,,
SgK085,50,pentagon,Silver,LightGrey,,,,,,
SYK,50,pentagon,Silver,LightGrey,,,,,,
SRPK2,50,pentagon,Silver,LightGrey,,,,,,
RSK4,50,pentagon,Silver,LightGrey,,,,,,
SRPK1,50,pentagon,Silver,LightGrey,,,,,,
SRC,50,pentagon,Silver,LightGrey,,,,,,
SNRK,50,pentagon,Silver,LightGrey,,,,,,
SLK,50,pentagon,Silver,LightGrey,,,,,,
SGK1,50,pentagon,Silver,LightGrey,,,,,,
RYK,50,pentagon,Silver,LightGrey,,,,,,
LCK,50,pentagon,Silver,LightGrey,,,,,,
MRCKb,50,pentagon,Silver,LightGrey,,,,,,
KSR1,50,pentagon,Silver,LightGrey,,,,,,
CK1a,50,pentagon,Silver,LightGrey,,,,,,
CK2a1,50,pentagon,Silver,LightGrey,,,,,,
CK1g3,50,pentagon,Silver,LightGrey,,,,,,
CK1g2,50,pentagon,Silver,LightGrey,,,,,,
CK1g1,50,pentagon,Silver,LightGrey,,,,,,
CK1e,50,pentagon,Silver,LightGrey,,,,,,
CK1d,50,pentagon,Silver,LightGrey,,,,,,
CHK2,50,pentagon,Silver,LightGrey,,,,,,
CLK1,50,pentagon,Silver,LightGrey,,,,,,
CHK1,50,pentagon,Silver,LightGrey,,,,,,
CHED,50,pentagon,Silver,LightGrey,,,,,,
KIT,50,pentagon,Silver,LightGrey,,,,,,
CDKL3,50,pentagon,Silver,LightGrey,,,,,,
CDKL2,50,pentagon,Silver,LightGrey,,,,,,
CDKL1,50,pentagon,Silver,LightGrey,,,,,,
CK2a2,50,pentagon,Silver,LightGrey,,,,,,
CLK2,50,pentagon,Silver,LightGrey,,,,,,
CDK8,50,pentagon,Silver,LightGrey,,,,,,
CaMK2a,50,pentagon,Silver,LightGrey,,,,,,
CaMKK2,50,pentagon,Silver,LightGrey,,,,,,
CaMKK1,50,pentagon,Silver,LightGrey,,,,,,
CaMK4,50,pentagon,Silver,LightGrey,,,,,,
CaMK2g,50,pentagon,Silver,LightGrey,,,,,,
CaMK2d,50,pentagon,Silver,LightGrey,,,,,,
CaMK2b,50,pentagon,Silver,LightGrey,,,,,,
CaMK1g,50,pentagon,Silver,LightGrey,,,,,,
CLK3,50,pentagon,Silver,LightGrey,,,,,,
CaMK1d,50,pentagon,Silver,LightGrey,,,,,,
CaMK1a,50,pentagon,Silver,LightGrey,,,,,,
CSK,50,pentagon,Silver,LightGrey,,,,,,
CRK7,50,pentagon,Silver,LightGrey,,,,,,
COT,50,pentagon,Silver,LightGrey,,,,,,
CLK4,50,pentagon,Silver,LightGrey,,,,,,
CDK9,50,pentagon,Silver,LightGrey,,,,,,
CDK7,50,pentagon,Silver,LightGrey,,,,,,
DAPK2,50,pentagon,Silver,LightGrey,,,,,,
ALK,50,pentagon,Silver,LightGrey,,,,,,
AurA,50,pentagon,Silver,LightGrey,,,,,,
AXL,50,pentagon,Silver,LightGrey,,,,,,
AMPKa2,50,pentagon,Silver,LightGrey,,,,,,
AMPKa1,50,pentagon,Silver,LightGrey,,,,,,
ALK2,50,pentagon,Silver,LightGrey,,,,,,
ALK1,50,pentagon,Silver,LightGrey,,,,,,
AKT2,50,pentagon,Silver,LightGrey,,,,,,
AurC,50,pentagon,Silver,LightGrey,,,,,,
AKT1,50,pentagon,Silver,LightGrey,,,,,,
ADCK3,50,pentagon,Silver,LightGrey,,,,,,
ACTR2B,50,pentagon,Silver,LightGrey,,,,,,
ACTR2,50,pentagon,Silver,LightGrey,,,,,,
ACK,50,pentagon,Silver,LightGrey,,,,,,
ABL2,50,pentagon,Silver,LightGrey,,,,,,
AurB,50,pentagon,Silver,LightGrey,,,,,,
BARK1,50,pentagon,Silver,LightGrey,,,,,,
CDK6,50,pentagon,Silver,LightGrey,,,,,,
CASK,50,pentagon,Silver,LightGrey,,,,,,
CDK5,50,pentagon,Silver,LightGrey,,,,,,
CDK4,50,pentagon,Silver,LightGrey,,,,,,
CDK2,50,pentagon,Silver,LightGrey,,,,,,
CDC7,50,pentagon,Silver,LightGrey,,,,,,
CDC2,50,pentagon,Silver,LightGrey,,,,,,
CCK4,50,pentagon,Silver,LightGrey,,,,,,
BUB1,50,pentagon,Silver,LightGrey,,,,,,
BIKE,50,pentagon,Silver,LightGrey,,,,,,
BTK,50,pentagon,Silver,LightGrey,,,,,,
BRK,50,pentagon,Silver,LightGrey,,,,,,
BRAF,50,pentagon,Silver,LightGrey,,,,,,
BMX,50,pentagon,Silver,LightGrey,,,,,,
BMPR2,50,pentagon,Silver,LightGrey,,,,,,
BMPR1B,50,pentagon,Silver,LightGrey,,,,,,
DAPK1,50,pentagon,Silver,LightGrey,,,,,,
CDKL5,50,pentagon,Silver,LightGrey,,,,,,
DAPK3,50,pentagon,Silver,LightGrey,,,,,,
HCK,50,pentagon,Silver,LightGrey,,,,,,
IGF1R,50,pentagon,Silver,LightGrey,,,,,,
Haspin,50,pentagon,Silver,LightGrey,,,,,,
HPK1,50,pentagon,Silver,LightGrey,,,,,,
HIPK2,50,pentagon,Silver,LightGrey,,,,,,
HH498,50,pentagon,Silver,LightGrey,,,,,,
HGK,50,pentagon,Silver,LightGrey,,,,,,
GSK3B,50,pentagon,Silver,LightGrey,,,,,,
ILK,50,pentagon,Silver,LightGrey,,,,,,
GPRK6,50,pentagon,Silver,LightGrey,,,,,,
GPRK5,50,pentagon,Silver,LightGrey,,,,,,
GPRK4,50,pentagon,Silver,LightGrey,,,,,,
GCN2,50,pentagon,Silver,LightGrey,,,,,,
GAK,50,pentagon,Silver,LightGrey,,,,,,
FYN,50,pentagon,Silver,LightGrey,,,,,,
IKKb,50,pentagon,Silver,LightGrey,,,,,,
INSR,50,pentagon,Silver,LightGrey,,,,,,
FMS,50,pentagon,Silver,LightGrey,,,,,,
JAK2_b,50,pentagon,Silver,LightGrey,,,,,,
KHS2,50,pentagon,Silver,LightGrey,,,,,,
KDR,50,pentagon,Silver,LightGrey,,,,,,
JNK3,50,pentagon,Silver,LightGrey,,,,,,
DCAMKL1,50,pentagon,Silver,LightGrey,,,,,,
JNK1,50,pentagon,Silver,LightGrey,,,,,,
JAK3,50,pentagon,Silver,LightGrey,,,,,,
JAK2,50,pentagon,Silver,LightGrey,,,,,,
IRAK1,50,pentagon,Silver,LightGrey,,,,,,
JAK1_b,50,pentagon,Silver,LightGrey,,,,,,
JAK1,50,pentagon,Silver,LightGrey,,,,,,
ITK,50,pentagon,Silver,LightGrey,,,,,,
IRE1,50,pentagon,Silver,LightGrey,,,,,,
IRAK4,50,pentagon,Silver,LightGrey,,,,,,
IRAK3,50,pentagon,Silver,LightGrey,,,,,,
FRAP,50,pentagon,Silver,LightGrey,,,,,,
JNK2,50,pentagon,Silver,LightGrey,,,,,,
FLT3,50,pentagon,Silver,LightGrey,,,,,,
DYRK1A,50,pentagon,Silver,LightGrey,,,,,,
EphA7,50,pentagon,Silver,LightGrey,,,,,,
EphA5,50,pentagon,Silver,LightGrey,,,,,,
EphA3,50,pentagon,Silver,LightGrey,,,,,,
EphA2,50,pentagon,Silver,LightGrey,,,,,,
EGFR,50,pentagon,Silver,LightGrey,,,,,,
DYRK2,50,pentagon,Silver,LightGrey,,,,,,
DRAK2,50,pentagon,Silver,LightGrey,,,,,,
EphB1,50,pentagon,Silver,LightGrey,,,,,,
DNAPK,50,pentagon,Silver,LightGrey,,,,,,
DMPK1,50,pentagon,Silver,LightGrey,,,,,,
DLK,50,pentagon,Silver,LightGrey,,,,,,
DDR2,50,pentagon,Silver,LightGrey,,,,,,
DDR1,50,pentagon,Silver,LightGrey,,,,,,
FLT1,50,pentagon,Silver,LightGrey,,,,,,
EphA8,50,pentagon,Silver,LightGrey,,,,,,
DYRK3,50,pentagon,Silver,LightGrey,,,,,,
EphB2,50,pentagon,Silver,LightGrey,,,,,,
EphB3,50,pentagon,Silver,LightGrey,,,,,,
EphB4,50,pentagon,Silver,LightGrey,,,,,,
ErbB2,50,pentagon,Silver,LightGrey,,,,,,
ErbB3,50,pentagon,Silver,LightGrey,,,,,,
ErbB4,50,pentagon,Silver,LightGrey,,,,,,
Erk1,50,pentagon,Silver,LightGrey,,,,,,
FGFR4,50,pentagon,Silver,LightGrey,,,,,,
Erk2,50,pentagon,Silver,LightGrey,,,,,,
Erk3,50,pentagon,Silver,LightGrey,,,,,,
Erk5,50,pentagon,Silver,LightGrey,,,,,,
FAK,50,pentagon,Silver,LightGrey,,,,,,
FES,50,pentagon,Silver,LightGrey,,,,,,
FGFR1,50,pentagon,Silver,LightGrey,,,,,,
FGFR2,50,pentagon,Silver,LightGrey,,,,,,
FGFR3,50,pentagon,Silver,LightGrey,,,,,,
ErbB4,47,pentagon,RoyalBlue,LightGrey,,,,,,
SYK,46,pentagon,RoyalBlue,LightGrey,,,,,,
EphB1,46,pentagon,RoyalBlue,LightGrey,,,,,,
ITK,46,pentagon,RoyalBlue,LightGrey,,,,,,
ErbB3,46,pentagon,RoyalBlue,LightGrey,,,,,,
ErbB2,46,pentagon,RoyalBlue,LightGrey,,,,,,
BRK,45,pentagon,RoyalBlue,LightGrey,,,,,,
MER,45,pentagon,RoyalBlue,LightGrey,,,,,,
JAK3,45,pentagon,RoyalBlue,LightGrey,,,,,,
EphB4,45,pentagon,RoyalBlue,LightGrey,,,,,,
IGF1R,45,pentagon,RoyalBlue,LightGrey,,,,,,
ROS,45,pentagon,RoyalBlue,LightGrey,,,,,,
HCK,45,pentagon,RoyalBlue,LightGrey,,,,,,
EphA7,45,pentagon,RoyalBlue,LightGrey,,,,,,
INSR,45,pentagon,RoyalBlue,LightGrey,,,,,,
ALK,45,pentagon,RoyalBlue,LightGrey,,,,,,
FGFR1,45,pentagon,RoyalBlue,LightGrey,,,,,,
LCK,45,pentagon,RoyalBlue,LightGrey,,,,,,
ABL2,45,pentagon,RoyalBlue,LightGrey,,,,,,
ACK,45,pentagon,RoyalBlue,LightGrey,,,,,,
RON,45,pentagon,RoyalBlue,LightGrey,,,,,,
BTK,45,pentagon,RoyalBlue,LightGrey,,,,,,
RET,45,pentagon,RoyalBlue,LightGrey,,,,,,
EphA3,45,pentagon,RoyalBlue,LightGrey,,,,,,
ABL1,45,pentagon,RoyalBlue,LightGrey,,,,,,
FGFR2,45,pentagon,RoyalBlue,LightGrey,,,,,,
EphA2,45,pentagon,RoyalBlue,LightGrey,,,,,,
LOK,45,pentagon,RoyalBlue,LightGrey,,,,,,
JAK2,45,pentagon,RoyalBlue,LightGrey,,,,,,
EGFR,35,circle,Cyan,LightGray,1.5,1.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
GAK,34,circle,Cyan,LightGray,1.5,13.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
MNK1,16,circle,Cyan,LightGray,1.5,290.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
skMLCK,15,circle,Cyan,LightGray,1.5,1900.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
JNK3,15,circle,Cyan,LightGray,1.5,3200.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
